Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionBeforeStoreOpened,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
278,a,c,9260.0,2,2010,0,0,0,"0,0,0,0",0,0,0,0,0
279,d,c,2320.0,1,1900,1,40,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
280,d,c,18640.0,9,2013,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
281,d,c,6970.0,9,2011,0,0,0,"0,0,0,0",0,0,0,0,0
282,a,a,1220.0,12,2010,0,0,0,"0,0,0,0",0,0,0,0,0
283,a,a,2260.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
284,d,a,1290.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
285,a,a,2410.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
286,a,a,1460.0,4,2015,0,0,0,"0,0,0,0",0,0,0,0,0
287,c,a,2740.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
288,d,a,800.0,1,1900,1,14,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
289,d,a,6540.0,12,2007,0,0,0,"0,0,0,0",0,0,0,0,0
290,a,a,4150.0,5,2001,0,0,0,"0,0,0,0",0,0,0,0,0
291,d,a,75860.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
292,a,a,1100.0,6,2009,0,0,0,"0,0,0,0",0,0,0,0,0
293,c,c,140.0,11,2007,0,0,0,"0,0,0,0",0,0,0,0,0
294,a,a,3150.0,5,2005,0,0,0,"0,0,0,0",0,0,0,0,0
295,a,a,210.0,11,2000,1,36,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
296,a,a,9580.0,5,2007,1,45,2014,"Feb,May,Aug,Nov",0,2,5,8,11
297,a,a,2300.0,9,2010,0,0,0,"0,0,0,0",0,0,0,0,0
298,d,a,19840.0,7,2009,0,0,0,"0,0,0,0",0,0,0,0,0
299,d,c,38630.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
300,a,c,120.0,4,2009,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
301,a,c,4510.0,3,2015,0,0,0,"0,0,0,0",0,0,0,0,0
302,d,c,2190.0,12,2007,1,9,2011,"Mar,Jun,Sept,Dec",0,3,6,9,12
303,a,a,15430.0,11,2012,1,18,2011,"Feb,May,Aug,Nov",0,2,5,8,11
304,a,a,1950.0,7,2015,0,0,0,"0,0,0,0",0,0,0,0,0
305,c,c,2470.0,2,2005,1,31,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
306,a,a,5100.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
307,a,a,18660.0,9,2002,0,0,0,"0,0,0,0",0,0,0,0,0
308,a,a,1070.0,12,2006,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
309,d,a,8740.0,1,1900,1,37,2009,"Feb,May,Aug,Nov",1,2,5,8,11
310,a,c,2290.0,1,1900,1,10,2014,"Mar,Jun,Sept,Dec",1,3,6,9,12
311,a,c,680.0,7,2005,0,0,0,"0,0,0,0",0,0,0,0,0
312,d,a,11300.0,3,2012,0,0,0,"0,0,0,0",0,0,0,0,0
313,d,c,14160.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
314,a,a,3560.0,10,2001,1,31,2013,"Feb,May,Aug,Nov",0,2,5,8,11
315,a,c,38710.0,4,2013,0,0,0,"0,0,0,0",0,0,0,0,0
316,d,a,9000.0,8,2001,0,0,0,"0,0,0,0",0,0,0,0,0
317,d,a,3140.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
318,d,c,32330.0,3,2014,0,0,0,"0,0,0,0",0,0,0,0,0
319,a,c,570.0,9,2012,1,27,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
320,a,c,210.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
321,c,c,8140.0,11,2013,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
322,a,a,17500.0,4,2001,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
323,d,c,8400.0,4,2012,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
324,a,a,13140.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
325,a,c,350.0,3,2011,1,22,2011,"Feb,May,Aug,Nov",0,2,5,8,11
326,d,a,10070.0,5,2015,1,31,2013,"Feb,May,Aug,Nov",0,2,5,8,11
327,c,c,1390.0,12,2004,0,0,0,"0,0,0,0",0,0,0,0,0
328,a,a,3130.0,7,2002,0,0,0,"0,0,0,0",0,0,0,0,0
329,a,a,1310.0,6,1990,1,22,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
330,a,c,370.0,1,1900,1,22,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
331,a,c,670.0,1,1900,1,14,2015,"Jan,Apr,Jul,Oct",1,1,4,7,10
332,a,a,1840.0,3,2006,0,0,0,"0,0,0,0",0,0,0,0,0
333,a,c,3720.0,2,2010,0,0,0,"0,0,0,0",0,0,0,0,0
334,d,c,4040.0,8,2008,1,18,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
335,b,a,90.0,1,1900,1,31,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
336,a,a,190.0,7,2014,0,0,0,"0,0,0,0",0,0,0,0,0
337,d,c,10600.0,7,2005,1,45,2014,"Feb,May,Aug,Nov",0,2,5,8,11
338,a,c,1590.0,1,1900,1,37,2009,"Jan,Apr,Jul,Oct",1,1,4,7,10
339,a,c,2280.0,1,1900,1,10,2013,"Mar,Jun,Sept,Dec",1,3,6,9,12
340,a,c,8080.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
341,a,a,190.0,9,2011,0,0,0,"0,0,0,0",0,0,0,0,0
342,d,c,15770.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
343,d,a,18650.0,4,2004,1,14,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
344,a,c,300.0,4,2011,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
345,a,a,120.0,1,1900,1,22,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
346,a,c,8090.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
347,d,c,9360.0,7,2013,1,22,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
348,a,a,16490.0,1,1900,1,22,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
349,c,c,1490.0,4,2009,0,0,0,"0,0,0,0",0,0,0,0,0
350,d,a,8880.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
351,a,a,5290.0,11,2012,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
352,d,c,6360.0,1,1900,1,40,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
353,b,b,900.0,1,1900,1,14,2013,"Feb,May,Aug,Nov",1,2,5,8,11
354,d,c,1500.0,10,2005,0,0,0,"0,0,0,0",0,0,0,0,0
355,a,c,9720.0,8,2013,0,0,0,"0,0,0,0",0,0,0,0,0
356,d,c,8970.0,12,2007,1,22,2012,"Feb,May,Aug,Nov",0,2,5,8,11
357,a,a,2060.0,10,2008,0,0,0,"0,0,0,0",0,0,0,0,0
358,a,a,2890.0,10,2003,0,0,0,"0,0,0,0",0,0,0,0,0
359,d,c,4370.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
360,a,a,2040.0,6,2007,0,0,0,"0,0,0,0",0,0,0,0,0
361,c,c,4490.0,5,2014,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
362,c,c,340.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
363,a,a,250.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
364,a,c,13620.0,1,1900,1,10,2014,"Mar,Jun,Sept,Dec",1,3,6,9,12
365,c,a,2410.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
366,d,c,6470.0,12,2004,0,0,0,"0,0,0,0",0,0,0,0,0
367,d,c,2640.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
368,d,c,1450.0,4,2005,1,45,2009,"Feb,May,Aug,Nov",0,2,5,8,11
369,d,c,5870.0,4,2014,0,0,0,"0,0,0,0",0,0,0,0,0
370,d,a,8250.0,10,2000,1,31,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
371,d,c,1970.0,7,2009,1,45,2014,"Feb,May,Aug,Nov",0,2,5,8,11
372,d,c,4880.0,8,2010,1,18,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
373,d,c,11120.0,1,1900,1,22,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
374,a,a,1150.0,9,2007,0,0,0,"0,0,0,0",0,0,0,0,0
375,a,c,15710.0,2,2013,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
376,a,a,160.0,8,2012,0,0,0,"0,0,0,0",0,0,0,0,0
377,a,c,100.0,6,2010,1,18,2010,"Feb,May,Aug,Nov",0,2,5,8,11
378,a,c,2140.0,8,2012,0,0,0,"0,0,0,0",0,0,0,0,0
379,d,a,6630.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
380,a,a,2240.0,5,2013,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
381,a,a,1800.0,11,2006,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
382,c,c,26130.0,11,2002,0,0,0,"0,0,0,0",0,0,0,0,0
383,a,c,350.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
384,a,c,130.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
385,d,a,4580.0,9,2007,0,0,0,"0,0,0,0",0,0,0,0,0
386,d,c,1460.0,4,2014,1,31,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
387,c,a,210.0,1,1900,1,36,2013,"Mar,Jun,Sept,Dec",1,3,6,9,12
388,a,a,2260.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
389,a,c,6690.0,8,2011,0,0,0,"0,0,0,0",0,0,0,0,0
390,a,c,1600.0,4,2009,0,0,0,"0,0,0,0",0,0,0,0,0
391,a,a,460.0,11,2014,1,31,2013,"Feb,May,Aug,Nov",0,2,5,8,11
392,a,a,2120.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
393,d,c,4820.0,3,2008,0,0,0,"0,0,0,0",0,0,0,0,0
394,d,a,10850.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
395,a,a,3620.0,2,2013,0,0,0,"0,0,0,0",0,0,0,0,0
396,a,c,23130.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
397,a,c,130.0,1,1900,1,27,2013,"Feb,May,Aug,Nov",1,2,5,8,11
398,c,c,1540.0,1,1900,1,1,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
399,a,a,5360.0,9,2012,1,40,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
400,a,a,70.0,11,2004,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
401,a,c,9200.0,10,2009,1,14,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
402,c,c,5830.0,9,2011,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
403,a,a,4970.0,7,2015,0,0,0,"0,0,0,0",0,0,0,0,0
404,a,c,1420.0,1,1900,1,10,2013,"Mar,Jun,Sept,Dec",1,3,6,9,12
405,a,a,1080.0,4,2008,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
406,d,c,8240.0,3,2001,1,10,2013,"Feb,May,Aug,Nov",0,2,5,8,11
407,a,a,5890.0,10,2003,1,14,2011,"Feb,May,Aug,Nov",0,2,5,8,11
408,c,a,1560.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
409,d,c,840.0,1,1900,1,1,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
410,c,a,40.0,11,2011,1,22,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
411,d,c,8460.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
412,d,c,4460.0,1,1900,1,39,2010,"Jan,Apr,Jul,Oct",1,1,4,7,10
413,a,c,760.0,9,2014,0,0,0,"0,0,0,0",0,0,0,0,0
414,d,c,6210.0,1,1900,1,1,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
415,d,c,6910.0,4,2005,0,0,0,"0,0,0,0",0,0,0,0,0
416,a,c,4650.0,6,2014,0,0,0,"0,0,0,0",0,0,0,0,0
417,a,c,840.0,1,1900,1,10,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
418,a,a,1060.0,5,2009,1,27,2011,"Feb,May,Aug,Nov",0,2,5,8,11
419,c,a,1620.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
420,d,c,250.0,1,1900,1,27,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
421,c,c,3530.0,6,2012,1,35,2012,"Mar,Jun,Sept,Dec",0,3,6,9,12
422,a,c,2880.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
423,b,a,1270.0,5,2014,0,0,0,"0,0,0,0",0,0,0,0,0
424,d,c,1250.0,1,1900,1,40,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
425,d,c,1460.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
426,a,a,250.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
427,a,c,70.0,7,2005,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
428,d,a,2960.0,12,2014,1,23,2015,"Mar,Jun,Sept,Dec",0,3,6,9,12
429,d,c,16350.0,7,2005,1,31,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
430,d,c,12870.0,10,2008,0,0,0,"0,0,0,0",0,0,0,0,0
431,d,c,4520.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
432,a,a,810.0,5,2013,0,0,0,"0,0,0,0",0,0,0,0,0
433,a,c,30030.0,11,2010,0,0,0,"0,0,0,0",0,0,0,0,0
434,a,a,13020.0,8,2003,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
435,a,a,910.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
436,d,a,2300.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
437,c,c,430.0,1,1900,1,50,2010,"Jan,Apr,Jul,Oct",1,1,4,7,10
438,d,c,1110.0,1,1900,1,40,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
439,a,a,1350.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
440,d,a,3900.0,4,2005,1,45,2009,"Feb,May,Aug,Nov",0,2,5,8,11
441,d,a,2530.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
442,c,a,500.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
443,d,a,11400.0,12,2005,0,0,0,"0,0,0,0",0,0,0,0,0
444,c,a,1700.0,11,2009,0,0,0,"0,0,0,0",0,0,0,0,0
445,a,a,240.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
446,a,a,340.0,10,2000,1,31,2013,"Feb,May,Aug,Nov",0,2,5,8,11
447,a,c,1510.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
448,a,c,3970.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
449,a,c,120.0,12,2014,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
450,c,a,5780.0,11,1994,1,10,2014,"Mar,Jun,Sept,Dec",0,3,6,9,12
451,a,a,2460.0,4,2009,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
452,a,c,1850.0,8,2013,1,5,2011,"Feb,May,Aug,Nov",0,2,5,8,11
453,a,c,75860.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
454,a,a,26450.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
455,d,c,7660.0,9,2010,0,0,0,"0,0,0,0",0,0,0,0,0
456,a,c,140.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
457,d,c,13140.0,1,1900,1,31,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
458,c,a,3390.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
459,a,a,250.0,9,2008,1,5,2013,"Feb,May,Aug,Nov",0,2,5,8,11
460,a,a,34050.0,4,2008,0,0,0,"0,0,0,0",0,0,0,0,0
461,d,c,1790.0,7,2013,1,40,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
462,a,a,44320.0,8,2008,0,0,0,"0,0,0,0",0,0,0,0,0
463,a,a,4160.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
464,c,a,520.0,3,2009,0,0,0,"0,0,0,0",0,0,0,0,0
465,d,c,10890.0,4,2005,0,0,0,"0,0,0,0",0,0,0,0,0
466,a,c,3110.0,3,2003,0,0,0,"0,0,0,0",0,0,0,0,0
467,a,c,20390.0,4,2008,0,0,0,"0,0,0,0",0,0,0,0,0
468,c,c,5260.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
469,c,c,710.0,9,2005,0,0,0,"0,0,0,0",0,0,0,0,0
470,a,c,50.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
471,d,a,5300.0,1,1900,1,45,2009,"Feb,May,Aug,Nov",1,2,5,8,11
472,c,c,5030.0,8,2011,0,0,0,"0,0,0,0",0,0,0,0,0
473,a,a,50.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
474,c,a,14810.0,1,1900,1,14,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
475,a,a,140.0,9,2005,0,0,0,"0,0,0,0",0,0,0,0,0
476,d,a,8300.0,9,2006,0,0,0,"0,0,0,0",0,0,0,0,0
477,d,a,770.0,7,2010,1,35,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
478,d,c,1940.0,3,2012,0,0,0,"0,0,0,0",0,0,0,0,0
479,a,a,320.0,12,2005,1,9,2011,"Feb,May,Aug,Nov",0,2,5,8,11
480,a,a,300.0,11,2012,0,0,0,"0,0,0,0",0,0,0,0,0
481,c,c,7470.0,1,1900,1,44,2012,"Feb,May,Aug,Nov",1,2,5,8,11
482,c,a,2550.0,10,2005,0,0,0,"0,0,0,0",0,0,0,0,0
483,a,c,2310.0,9,2011,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
484,a,c,14300.0,3,2011,0,0,0,"0,0,0,0",0,0,0,0,0
485,d,c,3270.0,1,1900,1,22,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
486,a,a,2320.0,1,1900,1,31,2013,"Jan,Apr,Jul,Oct",1,1,4,7,10
487,d,c,2180.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
488,a,c,2890.0,4,2014,0,0,0,"0,0,0,0",0,0,0,0,0
489,a,a,14960.0,11,2013,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
490,a,a,660.0,4,2013,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
491,d,c,4680.0,1,1900,1,22,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
492,a,a,1740.0,3,2008,1,40,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
493,d,c,1150.0,1,1900,1,14,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
494,b,a,1260.0,6,2011,0,0,0,"0,0,0,0",0,0,0,0,0
495,d,a,5470.0,1,1900,1,37,2009,"Jan,Apr,Jul,Oct",1,1,4,7,10
496,d,c,2780.0,6,2015,0,0,0,"0,0,0,0",0,0,0,0,0
497,a,c,1610.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
498,a,a,990.0,1,1900,1,40,2014,"Jan,Apr,Jul,Oct",1,1,4,7,10
499,c,c,450.0,1,1900,1,5,2013,"Feb,May,Aug,Nov",1,2,5,8,11
500,d,c,10690.0,9,2007,1,5,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
501,a,c,1620.0,9,2006,0,0,0,"0,0,0,0",0,0,0,0,0
502,a,a,220.0,2,2002,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
503,d,c,13080.0,9,2006,1,14,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
504,c,c,820.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
505,a,a,350.0,1,1900,1,5,2013,"Feb,May,Aug,Nov",1,2,5,8,11
506,a,a,1850.0,12,2014,1,18,2011,"Feb,May,Aug,Nov",0,2,5,8,11
507,a,c,9070.0,4,2011,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
508,a,c,1280.0,1,1900,1,40,2011,"Jan,Apr,Jul,Oct",1,1,4,7,10
509,a,a,4740.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
510,a,c,8260.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
511,a,a,2060.0,9,2009,0,0,0,"0,0,0,0",0,0,0,0,0
512,b,b,590.0,1,1900,1,5,2013,"Mar,Jun,Sept,Dec",1,3,6,9,12
513,a,a,400.0,8,2013,0,0,0,"0,0,0,0",0,0,0,0,0
514,c,c,1200.0,7,2012,1,27,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
515,d,c,11260.0,1,1900,1,9,2011,"Feb,May,Aug,Nov",1,2,5,8,11
516,a,c,20.0,1,1900,1,35,2010,"Mar,Jun,Sept,Dec",1,3,6,9,12
517,a,c,22490.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
518,d,c,3330.0,3,2015,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
519,c,c,2510.0,8,2009,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
520,a,c,6900.0,1,1900,1,40,2012,"Mar,Jun,Sept,Dec",1,3,6,9,12
521,d,a,18610.0,11,2002,1,48,2011,"Mar,Jun,Sept,Dec",0,3,6,9,12
522,d,c,7160.0,11,2012,1,9,2011,"Jan,Apr,Jul,Oct",0,1,4,7,10
523,c,c,50.0,11,2013,0,0,0,"0,0,0,0",0,0,0,0,0
524,a,c,40860.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
525,d,c,1870.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
526,a,a,120.0,1,1900,1,48,2011,"Mar,Jun,Sept,Dec",1,3,6,9,12
527,d,c,5830.0,4,2008,0,0,0,"0,0,0,0",0,0,0,0,0
528,a,c,20620.0,1,1900,1,37,2009,"Jan,Apr,Jul,Oct",1,1,4,7,10
529,d,c,12920.0,9,2012,0,0,0,"0,0,0,0",0,0,0,0,0
530,a,c,18160.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
531,a,c,4030.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
532,a,c,1070.0,8,2010,0,0,0,"0,0,0,0",0,0,0,0,0
533,a,c,5950.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
534,d,a,1200.0,9,2009,1,45,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
535,a,a,3570.0,4,2007,0,0,0,"0,0,0,0",0,0,0,0,0
536,a,c,4700.0,9,2002,1,31,2013,"Feb,May,Aug,Nov",0,2,5,8,11
537,a,a,600.0,5,2002,1,1,2012,"Jan,Apr,Jul,Oct",0,1,4,7,10
538,a,a,990.0,2,2010,0,0,0,"0,0,0,0",0,0,0,0,0
539,a,a,770.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct",0,1,4,7,10
540,d,c,810.0,1,1900,1,48,2012,"Jan,Apr,Jul,Oct",1,1,4,7,10
541,a,c,650.0,7,1990,0,0,0,"0,0,0,0",0,0,0,0,0
542,a,a,7280.0,9,2012,1,1,2013,"Jan,Apr,Jul,Oct",0,1,4,7,10
543,c,a,1080.0,12,2012,0,0,0,"0,0,0,0",0,0,0,0,0
544,a,a,250.0,12,2001,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
545,a,c,5020.0,5,2006,1,18,2014,"Feb,May,Aug,Nov",0,2,5,8,11
546,a,a,580.0,1,2005,0,0,0,"0,0,0,0",0,0,0,0,0
547,d,c,8990.0,11,2009,1,35,2010,"Mar,Jun,Sept,Dec",0,3,6,9,12
548,d,c,3760.0,2,2009,0,0,0,"0,0,0,0",0,0,0,0,0
549,a,c,2330.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
550,d,c,50.0,6,2015,0,0,0,"0,0,0,0",0,0,0,0,0
551,a,c,2190.0,9,2013,0,0,0,"0,0,0,0",0,0,0,0,0
552,a,a,4260.0,7,2008,1,37,2009,"Jan,Apr,Jul,Oct",0,1,4,7,10
553,c,a,3040.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct",0,1,4,7,10
554,c,c,1200.0,1,1900,0,0,0,"0,0,0,0",1,0,0,0,0
555,d,a,1560.0,1,2014,1,10,2013,"Mar,Jun,Sept,Dec",0,3,6,9,12
556,d,c,1140.0,11,2014,0,0,0,"0,0,0,0",0,0,0,0,0
